Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
52430	-5.6	197.1891892
52511	-6.13	197.6135135
52594	-6.23	198.0378378
52679	-6.71	198.4621622
52763	-6.15	198.8864865
52846	-6.1	199.3108108
52931	-6.93	199.7351351
53019	-7.18	200.1594595
53107	-7.07	200.5837838
53193	-6.36	201.0081081
53275	-5.65	201.4324324
53355	-5.55	201.8567568
53436	-6.05	202.2810811
53520	-6.65	202.7054054
53606	-6.65	203.1297297
53692	-6.55	203.5540541
53775	-6.04	203.9783784
53858	-6.22	204.4027027
53942	-6.49	204.827027
54026	-6.14	205.2513514
54111	-6.6	205.6756757
54198	-7.06	206.1
54286	-6.96	206.5243243
54372	-6.4	206.9486486
54457	-6.53	207.372973
54544	-6.8	207.7972973
54629	-6.17	208.2216216
54713	-6.35	208.6459459
54797	-6.29	209.0702703
54881	-6.36	209.4945946
54967	-6.71	209.9189189
55052	-6.31	210.3432432
55136	-6.16	210.7675676
55218	-5.58	211.1918919
55297	-5.34	211.6162162
55377	-5.65	212.0405405
55457	-5.42	212.4648649
55536	-5.21	212.8891892
55615	-5.43	213.3135135
55694	-5.54	213.7378378
55775	-5.81	214.1621622
55855	-5.23	214.5864865
55933	-4.8	215.0108108
56009	-5.09	215.4351351
56087	-4.95	215.8594595
56163	-4.71	216.2837838
56239	-4.92	216.7081081
56317	-5.11	217.1324324
56394	-4.76	217.5567568
56471	-5.09	217.9810811
56548	-5.1	218.4054054
56624	-4.35	218.8297297
56698	-4.42	219.2540541
56774	-4.88	219.6783784
56850	-4.47	220.1027027
56922	-3.71	220.527027
56993	-3.68	220.9513514
57065	-4.18	221.3756757
57068	-4.36	221.8
57139	-4.54	220.66
57215	-4.73	219.52
57289	-4.01	218.38
57362	-4.05	217.24
57436	-4.85	216.1
57513	-4.85	214.96
57590	-4.86	213.82
57669	-5.78	212.68
57750	-5.51	211.54
57799	-5.08	210.4
57828	-4.65	210.1826087
57905	-4.98	209.9652174
57981	-4.65	209.7478261
58057	-4.62	209.5304348
58133	-4.9	209.3130435
58211	-4.96	209.0956522
58286	-4.27	208.8782609
58360	-4.22	208.6608696
58436	-4.93	208.4434783
